"","fold","order","type","complexity","id","AIC","AICc","BIC","R2","R2_adjusted","RMSE","Sigma","R2_s"
"98","fold_2","Anseriformes","within","only_diet",99,11.6998505311617,23.6998505311617,11.0751289388458,0.75769044322965,0.697113054037062,0.38908751400096,0.476532937295179,0.757582989391984
"99","fold_1","Charadriiformes","within","only_diet",100,10.3347640461615,34.3347640461615,9.16307778346382,0.345691598316617,0.12758879775549,0.373266689864046,0.481885224512473,0.345401440760657
"100","fold_2","Charadriiformes","within","only_diet",101,12.4379474886974,24.4379474886974,11.8132258963815,0.0110698382314089,-0.236162702210739,0.41377087137736,0.506763752650651,0.0106312903570186
"101","total","Accipitriformes","betweeen","only_diet",102,25.8127394846353,29.2413109132067,27.0064253030304,0.018132578221514,-0.0909638019760957,0.595496679778481,0.658346350242547,0.0176971623676948
"102","total","Anseriformes","betweeen","only_diet",103,20.1867267401832,23.1867267401832,21.6414466895472,0.530739068475204,0.483812975322724,0.436998761043904,0.478708158051112,0.5305309714912
"103","total","Charadriiformes","betweeen","only_diet",104,21.7020152878956,25.130586716467,22.8957011062907,0.0208266830051364,-0.0879703522165152,0.494004542954141,0.546142571236631,0.0203924618705926
"104","total","Passeriformes","betweeen","only_diet",105,106.691358086077,107.066358086077,113.349881201605,0.0114557755332548,-0.00352216726169585,0.507346589624159,0.514976289778148,0.0110173988054125
"105","fold_1","Passeriformes","within","only_habita_for",106,18.1478569401704,20.814523606837,19.842705012555,0.0873821497674616,0.00441689065541273,0.386079000374685,0.419712123083311,0.0869774431119033
"106","fold_2","Passeriformes","within","only_habita_for",107,11.5572622257377,13.9572622257377,13.4744342145835,0.0381797192625656,-0.041971970798887,0.295092951546246,0.318736816816509,0.0377531934511691
"107","fold_3","Passeriformes","within","only_habita_for",108,38.0874056730813,40.4874056730813,40.0045776619271,0.00911378698967946,-0.0734600640945138,0.761123415253654,0.822107248957591,0.00867437169092757
"108","fold_4","Passeriformes","within","only_habita_for",109,21.2366907101377,23.6366907101377,23.1538626989834,0.00162241778903656,-0.0815757140618769,0.416957488742143,0.450365561132858,0.0011796803911454
"109","fold_5","Passeriformes","within","only_habita_for",110,23.1187189356215,25.7853856022882,24.8135670080061,0.0486308504218741,-0.0378572540852282,0.467420374609823,0.508139519656582,0.0482089592363916
"110","fold_1","Accipitriformes","within","only_habita_for",111,12.8120305792967,36.8120305792967,11.640344316599,0.0344976922243695,-0.287336410367507,0.47819557604063,0.617347834078474,0.0340695335927866
"111","fold_2","Accipitriformes","within","only_habita_for",112,15.0106306885391,27.0106306885391,14.3859090962233,0.12941091066758,-0.0882363616655248,0.512706028207922,0.627934078579204,0.129024841954789
"112","fold_1","Anseriformes","within","only_habita_for",113,11.3179574694859,23.3179574694859,10.6932358771701,0.00411322754689331,-0.244858465566383,0.376899987924703,0.461606327238331,0.00367159471570165
"113","fold_2","Anseriformes","within","only_habita_for",114,17.6876995400174,29.6876995400174,17.0629779477015,0.323035587658114,0.153794484572642,0.640847620701233,0.784874836797337,0.322735383138576
"114","fold_1","Charadriiformes","within","only_habita_for",115,8.98500826879516,32.9850082687952,7.81332200609747,0.0634391352465284,-0.248747819671295,0.326137011144058,0.421041070914266,0.0630238108966874
"115","fold_2","Charadriiformes","within","only_habita_for",116,16.2653062608897,28.2653062608897,15.6405846685739,0.0611811474155563,-0.173523565730555,0.569215407296614,0.697143650803603,0.0607648217454988
"116","total","Accipitriformes","betweeen","only_habita_for",117,21.63115425493,25.0597256835014,22.8248400733251,0.328635519792637,0.254039466436263,0.492415935826094,0.544386299975625,0.328337798601477
"117","total","Anseriformes","betweeen","only_habita_for",118,27.1786045206216,30.1786045206216,28.6333244699856,0.159652537085637,0.0756177907942007,0.584793387334074,0.640609059445456,0.159279879229847
"118","total","Charadriiformes","betweeen","only_habita_for",119,20.684158418569,24.1127298471404,21.8778442369641,0.107366378048449,0.00818486449827682,0.471669482839593,0.521450233213302,0.106970533536218
"119","total","Passeriformes","betweeen","only_habita_for",120,107.444698794865,107.819698794865,114.103221910393,0.000443260303379233,-0.0147015387829332,0.510164717304949,0.517836797696904,0
